store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000089,銀座 牛乃季,3.48,東京都内,81,"￥3,000～￥3,999",3000,3999,"￥6,000～￥7,999",6000,7999,332,30,28
00000090,三九厨房 赤坂2号店,3.25,東京都内,138,～￥999,,,"￥2,000～￥2,999",2000,2999,98,0,7
00000091,炭火BAR 集 新橋本店,3.37,東京都内,168,-,,,"￥4,000～￥4,999",4000,4999,127,8,35
00000092,uogin 新橋店,3.01,東京都内,13,"￥3,000～￥3,999",3000,3999,"￥4,000～￥4,999",4000,4999,33,9,0
00000093,伊達のくら 人形町店,3.26,東京都内,134,～￥999,,,"￥4,000～￥4,999",4000,4999,83,6,7
00000094,ニンニクバル にょんにょご,3.51,東京都内,211,-,,,"￥5,000～￥5,999",5000,5999,214,2,3
00000095,食堂 さんた,3.12,東京都内,24,-,,,"￥6,000～￥7,999",6000,7999,198,9,7
00000096,明石ニューワールド,3.47,東京都内,246,-,,,"￥2,000～￥2,999",2000,2999,162,96,125
00000097,居酒屋 黒電話,3.29,東京都内,125,-,,,"￥5,000～￥5,999",5000,5999,179,10,28
00000098,ホルモン焼肉 モリちゃん 御茶ノ水店,3.43,東京都内,174,～￥999,,,"￥4,000～￥4,999",4000,4999,90,96,34
00000099,バル30,3.06,東京都内,41,-,,,"￥3,000～￥3,999",3000,3999,97,37,9
00000100,翠園,3.08,東京都内,25,～￥999,,,"￥3,000～￥3,999",3000,3999,112,21,4
00000101,大崎キッチン,3.40,東京都内,142,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,137,58,33
00000102,海底撈火鍋 新宿店,3.49,東京都内,1407,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,108,0,15
00000103,博多NIKONNE,3.27,東京都内,62,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,138,1,6
00000104,炭焼てんがらもん 原町田店,3.18,東京都内,47,-,,,"￥3,000～￥3,999",3000,3999,170,20,7
