store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000111,幻の和牛と豊洲目利き鮮魚 モルゲン 池袋西口店,3.38,東京都内,201,-,,,"￥5,000～￥5,999",5000,5999,227,29,55
00000112,やきとり 虜 西新宿店,3.02,東京都内,113,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,243,12,36
00000113,遊山 新宿店,3.02,東京都内,69,"￥4,000～￥4,999",4000,4999,"￥4,000～￥4,999",4000,4999,114,48,10
00000114,恵比寿 逆月,3.36,東京都内,79,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,118,3,12
00000115,ristorante della collina,3.55,東京都内,626,"￥3,000～￥3,999",3000,3999,"￥8,000～￥9,999",8000,9999,143,9,10
00000116,京都焼肉 tendan+ GEMS大門店,3.38,東京都内,108,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,145,2,23
00000117,ビストロ エガリテ,3.40,東京都内,93,"￥2,000～￥2,999",2000,2999,"￥6,000～￥7,999",6000,7999,214,4,107
00000118,炭火焼鳥 一番鳥,3.02,東京都内,49,"￥2,000～￥2,999",2000,2999,"￥3,000～￥3,999",3000,3999,50,95,3
00000119,ESOLA  新宿店,3.14,東京都内,191,"￥2,000～￥2,999",2000,2999,"￥3,000～￥3,999",3000,3999,156,7,4
00000120,鮨 龍馬,3.36,東京都内,107,"￥20,000～￥29,999",20000,29999,"￥20,000～￥29,999",20000,29999,557,51,102
00000121,よりどり 新橋本店,3.01,東京都内,7,-,,,"￥3,000～￥3,999",3000,3999,11,6,3
00000122,Bar Espanol LA BODEGA 銀座店,3.43,東京都内,379,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,122,5,24
00000123,銀座すし嘉 はなれ,3.33,東京都内,87,"￥10,000～￥14,999",10000,14999,"￥20,000～￥29,999",20000,29999,425,46,82
00000124,有楽町かきだ,3.43,東京都内,375,"￥10,000～￥14,999",10000,14999,"￥10,000～￥14,999",10000,14999,236,3,31
00000125,百味軒,3.16,東京都内,25,～￥999,,,"￥2,000～￥2,999",2000,2999,138,53,16
00000126,麹蔵 有楽町晴海通り本店,3.40,東京都内,385,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,81,16,8
00000127,四十八漁場 山王パークタワー店,3.09,東京都内,96,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,117,22,7
00000128,かんどころ,3.25,東京都内,120,-,,,"￥4,000～￥4,999",4000,4999,131,5,6
00000129,SHARI赤坂 / 鉄板焼みたき赤坂,3.21,東京都内,34,-,,,"￥10,000～￥14,999",10000,14999,215,4,11
00000130,ahill ginza,3.56,東京都内,652,"￥4,000～￥4,999",4000,4999,"￥10,000～￥14,999",10000,14999,195,5,4
00000131,個室居酒屋 雪の村 新橋店,3.01,東京都内,9,"￥4,000～￥4,999",4000,4999,"￥4,000～￥4,999",4000,4999,24,14,1
00000132,シュマッツ 日比谷グルメゾン,3.39,東京都内,77,～￥999,,,"￥3,000～￥3,999",3000,3999,137,6,8
00000133,えびと馬肉と日本酒の居酒屋 池袋栄町横町店,3.18,東京都内,83,-,,,"￥4,000～￥4,999",4000,4999,163,8,7
00000134,旬の鮮魚と個室 楽の宴,3.05,東京都内,51,～￥999,,,"￥3,000～￥3,999",3000,3999,97,107,37
00000135,うしごろ 貫 五反田店,3.55,東京都内,502,-,,,"￥6,000～￥7,999",6000,7999,123,3,11
00000136,個室会席 北大路 新橋茶寮 汐留シティセンター店,3.18,東京都内,117,"￥3,000～￥3,999",3000,3999,"￥10,000～￥14,999",10000,14999,160,6,6
